Date,PRS_max,RAINF_max,RH_max,SR_max,TOUT_max,WSR_max,WDV_max,PM2.5_max,PRS_min,RAINF_min,RH_min,SR_min,TOUT_min,WSR_min,WDV_min,PRS_avg,RAINF_avg,RH_avg,SR_avg,TOUT_avg,WSR_avg,WDV_avg,CONT
24/03/2015,720.7,0,83,0.75,28.92,14.1,353,70,717,0,47,0,16.39,3.1,23,718.8727273,0,62.95454545,0.242227273,23.06136364,7.727272727,152.4545455,1
24/08/2015,721.2,0.36,88,0.822,34.89,15.3,111,106,718.8,0,39,0,23.48,3.1,8,720.1333333,0.03,65.75,0.30725,28.82833333,9.4,65.83333333,1
25/04/2015,715.2,0,91,0.761,32.13,13.1,360,66,713.5,0,48,0,22,2.2,0,714.2058824,0,77.17647059,0.223117647,26.08411765,6.035294118,165.2352941,1
25/01/2015,726.1,0,77,0.485,23.19,9.4,352,79,721.9,0,23,0,8.77,0.9,4,723.3608696,0,51.2173913,0.07673913,14.43347826,3.447826087,234.6086957,1
25/02/2015,719.8,0,95,0.681,19.38,13.8,356,38,715,0,43,0,4.07,4.1,2,716.95625,0,65.1875,0.281,13.3025,8.09375,141.1875,0
25/06/2015,722.5,0,95,0.856,30.13,11.3,110,38,720.4,0,59,0.065,21.41,4.7,49,721.5769231,0,81.76923077,0.317153846,24.76538462,7.261538462,86.84615385,0
25/03/2015,718.4,0,94,0.575,23.31,10.3,331,80,715.6,0,74,0,17.49,1.9,3,716.9695652,0,83.65217391,0.175,20.81130435,6.826086957,130.826087,1
25/08/2015,721.6,0,92,0.833,34.15,12.4,115,53,718.7,0,45,0,23.59,2.3,33,720.3727273,0,69.54545455,0.231818182,28.29909091,7.868181818,68.90909091,1
26/04/2015,713.8,0,89,0.816,34.87,14.7,337,89,708.5,0,30,0,22.53,1.9,100,710.9272727,0,58.86363636,0.2415,29.235,7.913636364,166.1818182,1
26/01/2015,727.6,0,59,0.507,20.77,10.1,352,47,724.3,0,29,0,12.41,0.9,6,725.8,0,41.5,0.11505,16.951,4.775,177.55,1
26/02/2015,723.7,0,82,0.704,21.7,21.2,331,52,717.2,0,38,0,8.5,0.9,6,719.073913,0,60.04347826,0.199521739,14.94391304,8.860869565,156.1304348,1
26/06/2015,719.2,0,78,0.816,32.31,12.4,114,46,717.4,0,55,0,25.91,7.1,84,718.29,0,61.6,0.3878,30.163,10.33,100.7,1
26/03/2015,724.8,0,88,0.704,21.35,18.4,360,64,716,0,53,0,16.4,2.7,3,720.1047619,0,70.71428571,0.105761905,19.10333333,9.561904762,305.9047619,1
26/10/2015,719.5,0,47,0.488,27.36,9.4,123,31,717.9,0,34,0,20.81,5.8,22,718.7333333,0,41.22222222,0.078444444,23.80111111,7.488888889,77.44444444,0
26/08/2015,722.4,0,87,0.879,33.91,13,346,54,719.7,0,41,0,23.34,2.8,8,721.0111111,0,66.72222222,0.225777778,28.15222222,8.4,97.88888889,1
27/04/2015,715.7,0,91,0.843,29.25,17.4,354,104,708.4,0,23,0,22.7,1.4,10,712.4,0,41.68181818,0.225772727,25.77090909,8.745454545,170.4090909,1
27/01/2015,725.5,0,60,0.607,26.1,11.4,359,64,722.9,0,23,0,13.39,1.6,3,724.3782609,0,43,0.147173913,19.17173913,4.486956522,217.7391304,1
